Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BAJAUTOFIN,EQ,15 04 2002,47.5,47.5,48.8,47.5,48.8,48.75,48.21,2890,139332.85,,2605,90.14
BAJAUTOFIN,EQ,16 04 2002,48.75,48.05,48.05,47.5,47.5,47.5,47.97,1288,61783.25,, , 
BAJAUTOFIN,EQ,17 04 2002,47.5,48,48.4,48,48.15,48.15,48.21,785,37844.5,,705,89.81
BAJAUTOFIN,EQ,18 04 2002,48.15,48.6,49,48.05,48.5,48.5,48.46,1701,82428.05,,1551,91.18
BAJAUTOFIN,EQ,19 04 2002,48.5,48.9,48.9,47.5,47.5,47.5,48.62,250,12155,,200,80
BAJAUTOFIN,EQ,22 04 2002,47.5,47,48.25,46.05,47.5,48,47.34,1750,82852.5,,1600,91.43
BAJAUTOFIN,EQ,23 04 2002,48,48.05,48.75,48,48,48,48.03,2625,126075.65,,2625,100
BAJAUTOFIN,EQ,24 04 2002,48,48.25,48.5,48,48.5,48.5,48.1,2071,99625.25,, , 
BAJAUTOFIN,EQ,25 04 2002,48.5,48.1,49,48.1,48.5,48.6,48.64,2850,138627.5,,4421,89.84
BAJAUTOFIN,EQ,26 04 2002,48.6,48.1,48.9,48.05,48.9,48.45,48.38,700,33865,,600,85.71
BAJAUTOFIN,EQ,29 04 2002,48.45,48.5,55.4,48.5,51.65,51.9,51.58,8999,464183.55,,7571,84.13
BAJAUTOFIN,EQ,30 04 2002,51.9,52.5,53.75,52,53.5,53.2,53.07,8545,453471.65,, , 
BAJAUTOFIN,EQ,02 05 2002,53.2,45,63.85,42.6,63.85,62.8,60.75,47456,2883008.6,,38320,80.75
BAJAUTOFIN,EQ,03 05 2002,62.8,65.7,65.7,60.65,61.85,62.1,62.81,30491,1915011.95,,19118,62.7
BAJAUTOFIN,EQ,06 05 2002,62.1,60.05,73.8,60.05,72,72.65,69.6,66309,4614914.55,,45506,68.63
BAJAUTOFIN,EQ,07 05 2002,72.65,73.5,74.9,66,71,69.5,71.3,34859,2485367.15,,20685,59.34
BAJAUTOFIN,EQ,08 05 2002,69.5,70,73.95,68,68,68.3,69.32,13561,939998.1,,7516,55.42
BAJAUTOFIN,EQ,09 05 2002,68.3,66.75,70,65,65,65.05,66.35,16000,1061536.4,,11875,74.22
BAJAUTOFIN,EQ,10 05 2002,65.05,68.3,69,66.1,69,68.2,67.46,19611,1322882.85,,17461,89.04
BAJAUTOFIN,EQ,13 05 2002,68.2,71.8,72,67.4,68.35,68,69.51,42219,2934643.8,,30892,73.17
BAJAUTOFIN,EQ,14 05 2002,68,69,69.9,65.6,65.6,67.2,68.1,15557,1059462.4,,12490,80.29
BAJAUTOFIN,EQ,15 05 2002,67.2,67,67.95,66.25,67.5,67.55,67.3,14326,964119.25,,13446,93.86
